veg_id,season_id
1,4
2,2
2,4
2,1
4,2
4,3
5,3
5,4
8,3
8,4
8,1
9,3
9,4
11,4
11,1
12,3
12,4
13,4
13,1
14,3
14,4
14,1
15,3
15,4
16,3
16,4
17,3
17,4
18,2
18,3
18,4
18,1
22,2
22,3
22,4
22,1
23,3
23,4
24,3
24,4
26,3
26,4
7,2
7,3
28,2
28,3
28,4
28,1
29,3
29,4
6,3
6,4
30,2
30,3
30,4
31,3
31,4
32,2
32,3
32,4
32,1
33,3
33,4
34,4
34,1
34,2
35,2
35,3
35,4
36,3
36,4
38,3
38,4
39,4
39,1
39,2
39,3
40,4
40,1
40,2
40,3
41,4
41,1
42,3
43,3
43,4
44,4
44,1
44,2
44,3
45,4
46,2
46,3
46,4
47,2
47,3
47,4
48,2
48,3
48,4
48,1
49,4
49,1
50,4
50,1
50,2
50,3
52,4
52,1
53,2
53,3
53,4
54,2
54,3
54,4
54,1
55,3
55,4
56,4
56,1
58,3
58,4
59,3
59,4
59,1
