veg_id,version,month_id,start_date,through_date,best
1,seeds,1,1,31,No
2,seeds,1,1,31,No
27,seeds,1,1,31,No
7,seeds,1,1,31,No
32,seeds,1,1,31,No
34,seeds,1,1,31,No
35,seeds,1,1,31,No
37,seeds,1,1,31,No
38,seeds,1,1,31,Yes
42,seeds,1,1,31,No
30,seeds,1,1,31,No
54,seeds,1,1,31,No
1,seeds,2,1,28,No
4,seeds,2,1,28,No
9,seeds,2,1,28,No
12,seeds,2,1,28,No
13,seeds,2,1,28,No
15,seeds,2,1,28,No
16,seeds,2,1,28,No
17,seeds,2,1,28,No
18,seeds,2,1,28,No
19,seeds,2,1,28,No
20,seeds,2,1,28,No
26,seeds,2,15,28,Yes
27,seeds,2,1,28,No
32,seeds,2,1,28,No
33,seeds,2,1,28,No
34,seeds,2,1,28,Yes
35,seeds,2,1,28,No
38,seeds,2,1,28,Yes
40,seeds,2,1,28,No
43,seeds,2,15,28,Yes
57,seeds,2,1,28,No
58,seeds,2,15,28,Yes
9,seeds,3,1,31,No
12,seeds,3,1,31,No
13,seeds,3,1,31,No
15,seeds,3,1,31,No
16,seeds,3,1,31,No
17,seeds,3,1,31,No
26,seeds,3,1,31,Yes
34,seeds,3,1,31,No
35,seeds,3,1,31,No
43,seeds,3,1,31,Yes
30,seeds,3,1,31,No
58,seeds,3,1,31,Yes
57,seeds,3,1,31,Yes
5,seeds,4,25,30,No
24,seeds,4,25,30,No
36,seeds,4,25,30,No
45,seeds,4,25,30,No
55,seeds,4,25,30,No
56,seeds,4,25,30,No
5,seeds,5,1,31,No
24,seeds,5,1,31,No
36,seeds,5,1,31,No
